,u1_id,u2_id,u1_willing,u2_willing,similarity
359,397,1111,0,1,14
360,398,1235,0,0,5
361,400,1338,0,0,6
362,401,3412,1,0,8
363,402,1190,1,0,8
364,403,468,0,0,5
365,5,404,0,0,6
366,405,3758,0,0,9
367,406,2088,0,0,13
368,407,2537,0,1,12
369,408,2706,0,0,10
370,409,1225,0,1,9
371,410,669,0,0,10
372,411,524,1,0,9
373,412,718,0,0,8
374,413,3262,0,0,1
375,414,1230,0,0,12
376,415,446,1,1,10
377,416,1686,0,0,8
378,417,3419,0,0,11
379,418,1120,0,1,12
380,419,2550,0,0,11
381,420,2577,0,0,12
382,421,763,0,0,16
383,422,2548,0,0,8
384,314,423,1,0,7
385,424,1766,0,1,0
386,425,2849,0,0,7
387,426,574,0,0,6
388,427,3514,0,0,9
389,428,1192,0,0,13
390,271,429,0,0,6
391,430,2687,0,1,8
392,431,888,1,0,7
393,432,2427,1,0,11
394,433,492,0,0,14
395,434,3086,0,0,14
396,435,2970,1,0,7
397,436,1345,0,1,10
398,438,2761,0,0,12
399,439,3821,0,0,7
400,440,1301,0,0,9
401,441,798,1,0,7
402,442,1847,0,0,10
403,443,1388,0,0,7
404,444,1885,1,0,7
405,445,1119,1,0,9
406,446,1013,1,0,11
407,447,2057,0,0,8
408,448,743,0,0,11
409,449,2769,1,1,12
410,450,922,1,0,10
411,451,607,0,0,11
412,452,1322,0,0,3
413,453,3225,0,0,9
414,454,620,0,0,13
415,455,1845,0,0,11
416,456,552,0,0,8
417,457,846,0,1,14
418,458,3771,0,0,14
419,459,3248,1,0,6
420,462,2546,0,0,8
421,463,1687,0,0,8
422,464,1549,1,0,10
423,465,2882,0,0,7
424,466,2877,0,1,11
425,467,1417,1,0,6
426,469,1417,0,0,9
427,470,837,1,1,4
428,471,1709,0,1,13
429,151,472,0,1,10
430,73,473,1,0,6
431,265,474,0,0,17
432,476,935,0,0,14
433,477,1746,0,0,6
434,478,1090,0,0,8
435,480,492,0,0,7
436,481,2479,0,1,14
437,482,746,0,0,9
438,438,483,0,0,12
439,484,3298,0,1,11
440,485,1012,1,0,9
441,486,2191,1,0,14
442,381,487,0,0,8
443,488,2781,0,0,9
444,489,1324,0,0,10
445,490,1745,0,0,12
446,491,1342,0,1,8
447,493,1366,0,0,8
448,494,1271,0,0,10
449,495,1239,0,0,13
450,213,497,0,0,1
451,498,2116,1,0,6
452,499,728,0,1,8
453,500,1127,1,0,13
454,501,2425,0,0,9
455,502,3246,0,0,4
456,504,2739,0,0,12
457,505,3801,1,0,7
458,506,742,0,0,5
459,507,2831,0,1,13
460,508,2760,1,0,9
461,510,2817,1,0,7
462,511,3372,0,0,7
463,512,556,0,0,14
464,513,1398,0,0,5
465,514,2792,0,0,8
466,515,2505,0,0,5
467,516,2798,0,0,12
468,518,3496,1,1,7
469,519,608,0,0,9
470,521,837,0,0,7
471,218,522,0,0,10
472,523,3581,0,0,8
473,524,3063,0,0,10
474,525,660,0,0,7
475,527,2427,1,0,10
476,528,670,0,0,11
477,529,3830,1,0,5
478,200,530,1,1,10
479,512,531,0,0,11
480,532,3184,0,0,11
481,533,2670,1,0,6
482,534,3644,1,1,10
483,535,686,1,0,12
484,412,536,0,1,4
485,537,1000,1,0,8
486,538,3855,0,0,10
487,539,1160,0,0,9
488,540,1442,0,0,6
489,468,541,0,0,7
490,343,542,0,0,12
491,543,2272,0,0,11
492,544,1549,0,1,9
493,546,608,0,0,9
494,548,648,0,0,10
495,549,1419,1,0,10
496,146,550,0,0,6
497,551,2503,0,0,6
498,553,3294,0,0,5
499,484,554,1,1,7
500,555,589,1,1,8
501,414,558,1,0,12
502,559,1931,1,0,8
503,238,561,0,1,0
504,562,1385,0,0,11
505,563,1295,0,0,7
506,564,1979,0,0,8
507,565,2926,0,0,14
508,217,566,1,0,1
509,229,567,1,0,6
510,570,1230,0,0,8
511,573,718,0,0,9
512,574,923,0,1,8
513,575,1134,0,0,11
514,576,1482,0,0,9
515,577,1118,0,0,8
516,578,2576,0,0,13
517,579,3092,0,0,7
518,580,1806,0,0,5
519,581,1231,0,0,6
520,582,3505,1,0,11
521,583,718,0,0,11
522,584,1709,0,0,14
523,143,585,1,0,8
524,586,1709,0,1,13
525,580,587,0,0,5
526,591,1030,0,0,3
527,592,1301,0,0,8
528,593,1921,0,0,0
529,594,869,0,0,9
530,595,1658,1,1,10
531,596,3100,1,0,3
532,597,1336,0,0,7
533,598,1874,0,0,10
534,339,599,1,1,9
535,600,3010,0,0,9
536,601,634,0,0,0
537,602,2251,0,0,8
538,603,782,0,0,10
539,604,3514,0,0,15
540,232,606,0,0,7
541,607,3307,0,1,10
542,609,2385,1,0,11
543,610,2604,0,0,16
544,611,3727,0,0,7
545,613,1532,0,0,9
546,614,1922,0,0,6
547,48,615,0,0,13
548,616,2310,0,0,7
549,436,617,0,1,5
550,618,2191,0,0,10
551,619,1373,1,0,11
552,620,2277,0,0,10
553,207,621,0,0,8
554,622,2613,0,0,8
555,624,1097,0,0,5
556,625,715,0,0,5
557,474,626,0,1,11
558,627,1467,1,1,9
559,628,2096,1,1,9
560,629,3023,1,0,11
561,559,630,0,0,15
562,631,1505,0,0,7
563,632,1412,0,1,6
564,633,3621,0,1,12
565,636,2959,1,0,7
566,637,1709,0,0,10
567,345,638,1,0,10
568,209,639,0,0,0
569,640,2058,1,0,7
570,641,3439,0,0,10
571,642,837,1,1,8
572,643,1342,0,0,7
573,644,2815,0,1,7
574,645,1433,1,0,11
575,646,1144,1,0,12
576,649,1204,0,0,8
577,650,2250,0,0,10
578,651,775,0,1,10
579,652,1397,0,0,13
580,206,653,1,0,10
581,654,2903,0,0,8
582,655,3122,0,0,9
583,656,1400,0,0,10
584,657,3621,1,1,7
585,658,1369,0,0,8
586,659,2712,0,0,10
587,662,3057,0,0,7
588,663,1345,0,1,8
589,664,3081,0,1,6
590,665,2841,0,0,9
591,666,1179,0,0,11
592,667,883,1,0,10
593,505,668,1,0,7
594,669,1037,0,0,9
595,670,1673,0,0,5
596,671,3319,0,0,6
597,549,672,1,1,5
598,673,2770,0,0,10
599,674,3307,0,1,9
600,675,3252,0,0,9
601,676,1807,0,0,9
602,677,960,1,0,12
603,678,3784,0,1,7
604,679,1681,1,0,7
605,680,2816,0,0,11
606,681,2012,0,0,11
607,682,3478,0,0,10
608,683,2582,1,0,9
609,684,3556,0,0,9
610,687,722,0,0,6
611,688,1436,0,1,6
612,689,980,1,1,9
613,690,2277,0,0,10
614,691,772,0,0,11
615,692,1287,0,0,8
616,693,1438,0,0,5
617,694,1969,0,0,11
618,210,696,1,0,10
619,697,2425,0,0,11
620,698,2919,1,0,7
621,699,1417,0,0,9
622,592,700,0,0,10
623,701,1475,0,0,9
624,702,1021,0,0,8
625,703,1845,0,0,0
626,704,3301,1,0,4
627,705,3351,1,0,8
628,706,1827,1,1,3
629,707,2709,1,0,8
630,708,3143,0,0,8
631,709,2913,0,0,12
632,346,710,0,1,3
633,711,1565,1,0,11
634,714,2446,0,0,11
635,716,1417,0,0,13
636,717,1289,0,0,8
637,719,1918,0,0,15
638,720,1648,0,1,12
639,721,1962,0,0,8
640,723,2195,0,0,6
641,134,724,0,1,8
642,725,2811,0,0,11
643,726,2665,0,0,10
644,729,2575,0,0,8
